depth_m,depth_in_penetration_depths,reflected,contrast,detectable,noise_floor
0.005970287587,0.1,0.4186743158,-0.5292382485,1,0.00249409695
0.03507543957,0.5875,0.8135432479,-0.08524351776,1,0.00249409695
0.06418059156,1.075,0.8683257153,-0.02364554207,1,0.00249409695
0.09328574355,1.5625,0.883314839,-0.006791615656,0,0.00249409695
0.1223908955,2.05,0.887657627,-0.001908539688,0,0.00249409695
0.1514960475,2.5375,0.889194872,-0.0001800454401,0,0.00249409695
0.1806011995,3.025,0.8893221189,-3.696773125e-05,0,0.00249409695
0.2097063515,3.5125,0.8893357973,-2.158761392e-05,0,0.00249409695
0.2388115035,4,0.8893549963,0,0,0.00249409695
