rho_m,rho_in_transport_mfp,reflectance_monte_carlo_per_m2,reflectance_diffusion_per_m2,ratio_mc_over_diffusion
0.003120992107,1.124069211,2711.883201,3431.001132,0.7904058018
0.003943472124,1.420296959,2018.243831,2351.256513,0.8583682042
0.004982701608,1.794590077,1478.661457,1544.514661,0.9573631729
0.006295800893,2.267521256,1033.278236,993.0728778,1.040485808
0.007954943322,2.865084742,698.8116885,633.8150201,1.102548325
0.0100513222,3.620125084,445.0081273,401.1143044,1.109429712
0.01270016313,4.574142408,270.102069,247.9339954,1.08941119
0.01604705733,5.779573436,154.8100452,146.7784583,1.054719112
0.02027596389,7.302673622,83.65337566,81.99298776,1.020250365
0.02561932092,9.227158824,42.60948364,42.88719398,0.9935246327
0.03237082133,11.65880667,20.34716755,20.92961864,0.9721709653
0.0409015554,14.73127055,9.065563008,9.491888622,0.9550852701
0.05168040738,18.61342572,3.810388226,3.969088306,0.9600159866
0.06529982739,23.51865143,1.429388906,1.509356241,0.9470189126
0.08250839482,29.71655907,0.4846437752,0.511188007,0.9480734456
0.1042519634,37.54781117,0.1434685551,0.1497808687,0.9578563427
0.1317256493,47.4428456,0.03532361864,0.03653827931,0.9667564895
0.1664395192,59.94553421,0.007040316518,0.007062421274,0.9968700882
0.2103015906,75.74307624,0.001034149046,0.001015517208,1.018347141
0.2657227035,95.70376966,0.0001098428088,0.0001002939267,1.095208977
0.3357490304,120.9247364,7.935530932e-06,6.15062414e-06,1.290199296
0.4242295068,152.7922246,3.484027812e-07,2.062273925e-07,1.689410785
0.5360273838,193.0578027,7.576030768e-09,3.219588827e-09,2.353105062
