wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.9924320302,0.9999987301,1.269918328e-06,0.8827397763,3320.038371,0.09948873339
304.0272895,0.9924465755,0.9999987408,1.259205411e-06,0.8832789249,3320.907755,0.09968353426
308.1086425,0.9924790006,0.9999987528,1.247216883e-06,0.8833871356,3321.355415,0.1001072969
312.2447849,0.9925037115,0.9999987638,1.236191924e-06,0.8836516002,3320.162808,0.1004888096
316.436452,0.9925329312,0.9999987771,1.222895609e-06,0.8839968482,3320.367131,0.1008958993
320.6843893,0.9925670848,0.9999987905,1.209545709e-06,0.884202137,3323.125715,0.1012882575
324.9893522,0.9926032821,0.9999988039,1.196106705e-06,0.8843607433,3323.606698,0.1017797446
329.3521062,0.9926226639,0.9999988168,1.183198514e-06,0.8850044641,3321.417744,0.10215034
333.7734272,0.9926649438,0.9999988314,1.168562344e-06,0.8851086861,3322.645105,0.1027091999
338.2541012,0.9927035805,0.9999988448,1.15520083e-06,0.885211575,3320.49067,0.1033278495
342.7949252,0.9927422676,0.9999988597,1.140299178e-06,0.8854763644,3322.150064,0.1038434864
347.3967065,0.9927637513,0.9999988688,1.131170934e-06,0.8857149302,3322.714297,0.1041484779
352.0602635,0.9928190133,0.9999988905,1.109450277e-06,0.8861708306,3323.215276,0.1049626218
356.7864255,0.9928664784,0.9999989056,1.094415843e-06,0.8862083264,3323.934065,0.1056429634
361.576033,0.9929066126,0.9999989214,1.078611238e-06,0.8865740695,3324.016112,0.1062609534
366.4299375,0.9929587276,0.9999989358,1.064220316e-06,0.8864183199,3321.14707,0.1071340525
371.3490023,0.9929533933,0.9999989374,1.062648955e-06,0.8867583194,3321.002059,0.1070766157
376.3341021,0.9930477658,0.9999989663,1.033712154e-06,0.8868195723,3323.26306,0.108465288
381.3861233,0.9930970654,0.9999989836,1.016375195e-06,0.8871166214,3323.827764,0.1092414531
386.5059644,0.9931458327,0.9999989993,1.00066443e-06,0.8872685156,3324.961963,0.1099929033
391.6945358,0.9931851175,0.9999990126,9.874377617e-07,0.8874676371,3323.639811,0.1106849789
396.9527601,0.9932064846,0.9999990196,9.80424043e-07,0.8875604174,3322.805468,0.1110677192
402.2815723,0.9932337426,0.9999990295,9.705122415e-07,0.8877952924,3324.774087,0.1114646256
407.6819202,0.9932517155,0.999999034,9.66019435e-07,0.887716857,3323.449584,0.1118024657
413.1547639,0.9932755766,0.9999990421,9.578629995e-07,0.8878705052,3325.467892,0.1121416524
418.7010767,0.993303603,0.9999990533,9.467348697e-07,0.8882402043,3328.67981,0.1125260587
424.3218448,0.993291263,0.9999990501,9.499323151e-07,0.8882763799,3326.554144,0.1123922611
430.0180679,0.9932584563,0.9999990416,9.58409664e-07,0.8883776714,3329.011759,0.1117667826
435.7907587,0.9931644423,0.9999990156,9.844055998e-07,0.8884932943,3324.61018,0.1103767097
441.6409438,0.9930426322,0.9999989832,1.016787071e-06,0.8888375294,3326.021056,0.1084109038
447.5696636,0.9928798731,0.9999989318,1.068172644e-06,0.8885170946,3323.320637,0.1059915768
