wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
1000,0.7016167901,0.9974195494,0.002580450616,0.892042621,3338.077607,0.002115509295
1300,0.4243522877,0.9842519555,0.01574804455,0.8951705161,3340.045606,0.0008439392568
1600,0.05224709036,0.797512598,0.202487402,0.9249145243,3341.179516,0.000238218696
2000,0.009181900545,0.5816963903,0.4183036097,0.9653303766,3360.064747,0.0001837312506
