wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.9978043154,0.9999998939,1.061168072e-07,0.8829220765,3319.282094,0.3440115026
304.0272895,0.9978213379,0.999999896,1.039796684e-07,0.8834781626,3321.338025,0.3465902344
308.1086425,0.9978306372,0.999999897,1.030238366e-07,0.8835562175,3319.688145,0.3482650991
312.2447849,0.9978434207,0.9999998985,1.01548478e-07,0.8838574244,3322.25273,0.3501174394
316.436452,0.9978584616,0.9999999,1.000354021e-07,0.883973317,3322.736979,0.352549597
320.6843893,0.9978680223,0.9999999012,9.878590923e-08,0.8843914429,3319.344339,0.3545730054
324.9893522,0.9978822511,0.9999999027,9.725788686e-08,0.8846433071,3321.807881,0.3567409808
329.3521062,0.9978734187,0.9999999018,9.824126523e-08,0.8844439325,3319.867884,0.3554276297
333.7734272,0.9978982898,0.9999999045,9.552194702e-08,0.8849645164,3321.268061,0.3595861379
338.2541012,0.9979112379,0.9999999061,9.393131228e-08,0.8854717099,3321.037795,0.3619401474
342.7949252,0.9979271297,0.9999999074,9.264716949e-08,0.885296779,3322.291097,0.3645466701
347.3967065,0.9979419391,0.999999909,9.095976639e-08,0.8857575609,3322.243458,0.3672677813
352.0602635,0.9979416018,0.9999999093,9.067849693e-08,0.8861481888,3320.826085,0.3674403602
356.7864255,0.997962598,0.9999999114,8.857420175e-08,0.8864837715,3321.815936,0.3711865456
361.576033,0.9979751627,0.9999999124,8.763519344e-08,0.8862874837,3319.240817,0.3737432384
366.4299375,0.9979776113,0.9999999128,8.721728495e-08,0.886555242,3321.296777,0.3740176881
371.3490023,0.9979987977,0.9999999147,8.533390405e-08,0.8866398125,3319.791191,0.3781699889
376.3341021,0.9980126638,0.999999916,8.40255252e-08,0.886813165,3323.169264,0.3804592433
381.3861233,0.9980166873,0.9999999166,8.340428936e-08,0.8871932085,3323.421956,0.3812796925
386.5059644,0.9980350014,0.9999999182,8.182015854e-08,0.8872611696,3324.17051,0.3847642211
391.6945358,0.9980088558,0.999999916,8.397601592e-08,0.8873125744,3321.276725,0.3800478071
396.9527601,0.9979366871,0.9999999102,8.983413546e-08,0.8877456105,3321.665779,0.3667818781
402.2815723,0.9978687455,0.9999999041,9.594034633e-08,0.8876452871,3320.739541,0.3551566442
407.6819202,0.9978053055,0.9999998984,1.016057536e-07,0.8877978011,3323.976849,0.3445707287
413.1547639,0.9977340604,0.9999998918,1.081555467e-07,0.8879658704,3324.372485,0.3337141294
418.7010767,0.9976524447,0.9999998845,1.155494177e-07,0.8884944639,3326.317759,0.3219998555
424.3218448,0.9974817709,0.9999998666,1.333839456e-07,0.8881607422,3324.660411,0.3002454183
430.0180679,0.9973091165,0.9999998479,1.520907571e-07,0.8883357537,3324.592356,0.2809867426
435.7907587,0.9969465378,0.9999998043,1.956713126e-07,0.8884743093,3324.329875,0.2476111532
441.6409438,0.996572437,0.9999997538,2.462126576e-07,0.8886734567,3324.970012,0.2205223774
447.5696636,0.9962095213,0.9999996991,3.009425731e-07,0.8887791355,3325.036141,0.1993771881
453.5779723,0.9957792353,0.9999996277,3.723015086e-07,0.8890816452,3324.25622,0.179081154
459.6669383,0.9953568824,0.9999995495,4.504905298e-07,0.8891435489,3328.155269,0.1625692341
465.8376444,0.9947670686,0.9999994278,5.722030354e-07,0.8892150985,3325.257898,0.1443313247
472.0911879,0.994122147,0.9999992781,7.219046213e-07,0.8892960929,3328.29259,0.1283392186
478.4286808,0.9934540907,0.9999991041,8.958509123e-07,0.8893107498,3325.677244,0.1152915374
