wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.9984508363,0.9999999468,5.323047159e-08,0.8819417962,6666.510472,0.2427252283
304.0272895,0.9984554589,0.9999999471,5.285131466e-08,0.8820794674,6665.628702,0.2435022757
308.1086425,0.9984452163,0.9999999466,5.34463177e-08,0.8823191731,6666.122353,0.2419097173
312.2447849,0.9984805996,0.9999999492,5.084829657e-08,0.8827598924,6657.730196,0.2479179738
316.436452,0.9984863138,0.9999999497,5.031768524e-08,0.8831050285,6669.613162,0.2484567801
320.6843893,0.9984903238,0.9999999498,5.020437288e-08,0.8827473511,6663.949672,0.2492816223
324.9893522,0.9985000916,0.9999999508,4.919784102e-08,0.8835954778,6658.396093,0.251228719
329.3521062,0.998513557,0.9999999516,4.836682754e-08,0.883477283,6660.118749,0.2534248987
333.7734272,0.9985230532,0.9999999524,4.762493255e-08,0.8837832829,6652.350397,0.2553949493
338.2541012,0.9985324028,0.9999999532,4.684291677e-08,0.884229362,6671.024663,0.2563644712
342.7949252,0.9985369841,0.9999999535,4.652473162e-08,0.8842939268,6668.545089,0.2572723204
347.3967065,0.9985242817,0.9999999527,4.730647152e-08,0.8843679804,6671.154936,0.2549663307
352.0602635,0.9985552972,0.9999999548,4.516036411e-08,0.8848194221,6655.124043,0.2611342705
356.7864255,0.9985625529,0.9999999554,4.461007763e-08,0.8850705158,6667.963466,0.2619829308
361.576033,0.9985601055,0.9999999552,4.478385129e-08,0.885015004,6662.071591,0.2617608858
366.4299375,0.998580092,0.9999999566,4.340894433e-08,0.8853829682,6670.185541,0.2651770897
371.3490023,0.9985851022,0.999999957,4.302730272e-08,0.8855840282,6675.534635,0.2659319213
376.3341021,0.9985938189,0.9999999576,4.242648954e-08,0.8857775937,6671.687973,0.2677634014
381.3861233,0.9985839277,0.999999957,4.297052769e-08,0.8859246137,6659.73708,0.2663895864
386.5059644,0.9986158479,0.9999999589,4.111446528e-08,0.8857558511,6670.124031,0.2720887483
391.6945358,0.9985901694,0.9999999575,4.252882679e-08,0.8860945363,6673.086321,0.2670586563
396.9527601,0.9985487489,0.9999999549,4.505797535e-08,0.8861160902,6669.362653,0.2595785501
402.2815723,0.9984989642,0.9999999519,4.813091858e-08,0.886291,6668.325274,0.2510247998
407.6819202,0.9984585356,0.9999999494,5.061679598e-08,0.8866134185,6670.997223,0.2443796464
413.1547639,0.9983900304,0.9999999448,5.521938518e-08,0.8866142444,6679.318576,0.2336812053
418.7010767,0.9983471862,0.999999942,5.799600256e-08,0.8870119208,6671.950017,0.2279179389
424.3218448,0.9982258248,0.999999933,6.69971939e-08,0.8867365575,6668.030972,0.2124073761
430.0180679,0.9981051964,0.9999999238,7.618492825e-08,0.8870955909,6681.334073,0.1985139345
435.7907587,0.9978385313,0.9999999012,9.88418809e-08,0.8874644528,6680.605457,0.1740510641
441.6409438,0.9976048414,0.9999998782,1.21816529e-07,0.8870786811,6676.200724,0.1571212204
447.5696636,0.9973288709,0.9999998491,1.509461682e-07,0.8875284675,6680.989593,0.1407998954
453.5779723,0.9970261356,0.9999998132,1.867574493e-07,0.8877709164,6684.086516,0.1264038563
459.6669383,0.9967048856,0.9999997702,2.298322748e-07,0.8875418967,6690.695483,0.1139343174
