wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.9951038364,0.9999994744,5.255728331e-07,0.8837218422,661.7289074,0.7730518124
304.0272895,0.9951290376,0.9999994813,5.186923264e-07,0.8840504504,661.7408408,0.777183426
308.1086425,0.9951464872,0.9999994854,5.145996383e-07,0.884134533,661.7495376,0.7800094297
312.2447849,0.9951843421,0.9999994951,5.048912172e-07,0.8845215205,661.7567176,0.7863097927
316.436452,0.9951959551,0.9999994992,5.008438374e-07,0.8848913118,661.7789307,0.7883436667
320.6843893,0.9952400932,0.999999509,4.909591187e-07,0.8850553302,661.6338577,0.7959164058
324.9893522,0.995262017,0.9999995148,4.851529649e-07,0.8853583847,661.8037174,0.7995319828
329.3521062,0.995288088,0.9999995215,4.78523151e-07,0.8856670741,661.7248534,0.8041944604
333.7734272,0.9953151127,0.9999995279,4.720948243e-07,0.8858945976,661.864095,0.8087725501
338.2541012,0.995337943,0.9999995336,4.664447263e-07,0.8861505566,661.7479093,0.8129961061
342.7949252,0.9953683121,0.9999995411,4.588905902e-07,0.8865170619,661.8413862,0.8183834755
347.3967065,0.9953939463,0.9999995473,4.5266043e-07,0.8868052083,661.8639697,0.8230469494
352.0602635,0.9954197606,0.9999995531,4.469008903e-07,0.8869790985,661.7510307,0.8279146431
356.7864255,0.9954470503,0.9999995594,4.406427332e-07,0.8872185993,661.9660305,0.832724357
361.576033,0.9954550334,0.9999995614,4.385867209e-07,0.8873491746,661.8021694,0.8344548568
366.4299375,0.9955010575,0.9999995714,4.286477288e-07,0.8876323449,661.7587573,0.8431938643
371.3490023,0.9954875634,0.9999995698,4.302289545e-07,0.8878929783,661.9958091,0.8404812897
376.3341021,0.9955213066,0.9999995766,4.233761968e-07,0.888005974,661.9803138,0.8468994076
381.3861233,0.9955785082,0.9999995881,4.118677884e-07,0.8882061711,661.9662242,0.8579913589
386.5059644,0.9955968998,0.9999995926,4.074496626e-07,0.8884773625,661.9179435,0.861770245
391.6945358,0.9955600411,0.9999995861,4.138872092e-07,0.8885928224,661.9786602,0.8545731804
396.9527601,0.9953844439,0.9999995534,4.465729617e-07,0.888787952,661.9285349,0.8221312082
402.2815723,0.9952325713,0.9999995242,4.757572277e-07,0.8889665356,661.9288688,0.7959513314
407.6819202,0.9950991737,0.9999994978,5.021784084e-07,0.8891095069,662.0649935,0.7741301265
413.1547639,0.9949377662,0.999999465,5.350173717e-07,0.8892908916,661.8748217,0.7496698124
418.7010767,0.9947429529,0.9999994238,5.761967435e-07,0.8894658787,661.9861946,0.721759014
424.3218448,0.9943734679,0.9999993402,6.597762967e-07,0.8895533409,661.9941643,0.6742519914
430.0180679,0.9939624709,0.9999992411,7.589085412e-07,0.8897148005,662.0213572,0.6282427065
435.7907587,0.9931671943,0.999999029,9.709538638e-07,0.8899280771,662.2007477,0.5547966923
441.6409438,0.9924089643,0.9999988008,1.199182408e-06,0.8899459326,661.9002464,0.4994091694
447.5696636,0.9915235495,0.9999985053,1.494652417e-06,0.8900937616,661.9919317,0.4470035168
453.5779723,0.9905841431,0.999998156,1.844030902e-06,0.8902207058,661.8549477,0.4023138652
459.6669383,0.989626209,0.9999977618,2.238199417e-06,0.8903399471,661.9399827,0.364951605
465.8376444,0.988289528,0.9999971491,2.850896746e-06,0.890545766,662.2290918,0.3229561504
472.0911879,0.9868803008,0.9999964165,3.583525943e-06,0.8905531756,662.0106251,0.2881437803
478.4286808,0.9853731881,0.9999955467,4.453319534e-06,0.8907507142,662.2146563,0.2581914023
484.8512502,0.9835260771,0.9999943448,5.655193266e-06,0.8908507945,662.1890556,0.229034349
491.360038,0.9816573209,0.9999929812,7.018840096e-06,0.8909493069,662.1881642,0.2055032375
497.9562017,0.9795662919,0.9999912826,8.717430877e-06,0.891107516,662.2436323,0.1842644718
504.6409143,0.9773583879,0.9999892784,1.072158905e-05,0.8911806132,662.3259553,0.1660821917
511.4153645,0.9751459506,0.9999870605,1.293954966e-05,0.8912722413,662.0901593,0.1511769578
518.2807569,0.9727612966,0.9999844309,1.556909146e-05,0.891363456,662.0614164,0.1377751304
525.2383124,0.9698567284,0.9999808923,1.910767986e-05,0.8914742221,662.4856934,0.1242292368
532.2892682,0.9675755294,0.9999778586,2.21414199e-05,0.8915875619,662.3411435,0.1153768416
539.4348781,0.9648924892,0.9999739709,2.602907555e-05,0.891607931,662.1167435,0.1064394565
546.6764128,0.9619386358,0.9999693382,3.066183446e-05,0.8917183911,662.2972794,0.09799818576
554.0151601,0.9591054503,0.9999645261,3.547386155e-05,0.8918209001,662.2784431,0.09107361908
561.4524249,0.956012631,0.9999588723,4.112771192e-05,0.8919670839,662.4712113,0.08450696613
568.9895297,0.9531096204,0.9999531673,4.683270812e-05,0.8920908081,661.8549675,0.07922610664
576.6278149,0.9500441725,0.9999466734,5.332655844e-05,0.8921141454,662.2001858,0.07419974857
584.3686387,0.9470079208,0.9999398034,6.019661365e-05,0.8921376509,661.8556709,0.06986691457
592.2133776,0.9439742531,0.9999325982,6.740179711e-05,0.8923189397,661.8423699,0.065979069
600.1634267,0.9409872821,0.9999249541,7.50459169e-05,0.8922986844,662.3701233,0.06248382885
608.2201996,0.9369696421,0.999914158,8.584200051e-05,0.892497708,662.1299415,0.05839581101
616.385129,0.9316633199,0.9998984481,0.0001015518924,0.8924557437,662.3368471,0.05368159752
624.6596668,0.9263104137,0.9998814609,0.000118539149,0.8926976171,662.7780435,0.04960371392
633.0452845,0.921144022,0.9998634085,0.000136591531,0.8926637519,662.3941852,0.04624275853
641.5434733,0.9141436862,0.9998368844,0.0001631155954,0.8927388251,662.7904828,0.04227764001
650.1557442,0.9118521319,0.9998279349,0.0001720650915,0.8929443811,662.4206558,0.04115136138
658.8836289,0.906606872,0.9998054203,0.0001945797132,0.8928077184,662.582148,0.0387096591
667.7286793,0.9020009542,0.9997851137,0.0002148862889,0.8930632679,662.6125804,0.03679443225
676.6924683,0.8976875751,0.999764126,0.0002358739667,0.8928505121,662.6486246,0.03514823373
685.7765898,0.8930275064,0.999741235,0.0002587649936,0.8930586892,662.5285516,0.03353456017
694.9826593,0.8856282839,0.999701645,0.0002983550344,0.8930762144,662.2319357,0.03124191442
704.3123139,0.8770358466,0.999652414,0.0003475859934,0.8933337212,662.625718,0.02889652304
713.7672125,0.8686184218,0.9995988576,0.0004011424047,0.8932548816,662.5131949,0.02691152007
723.3490365,0.860871055,0.9995465221,0.000453477904,0.893401288,662.3044515,0.02530327195
733.0594897,0.8569246579,0.9995188063,0.0004811937394,0.8935548075,662.8320273,0.02452835822
742.900299,0.8482756285,0.9994556241,0.0005443759082,0.8940500074,662.9340381,0.02300948924
752.8732142,0.8363511914,0.9993539267,0.0006460733086,0.8935054178,662.6547605,0.02117761355
762.9800088,0.8223157458,0.9992252777,0.0007747222714,0.8935786244,662.6747555,0.01933244786
773.2224801,0.8078373465,0.9990781724,0.0009218275785,0.8937245157,662.6495833,0.01771222275
783.6024493,0.7942695469,0.9989249937,0.001075006303,0.8937660526,662.3381367,0.0164061548
794.1217624,0.781585221,0.9987644114,0.001235588567,0.8934679218,662.7971102,0.01531086675
804.7822898,0.7734959421,0.9986666286,0.001333371425,0.8942534044,662.7202709,0.01469182351
815.5859273,0.7720136343,0.9986448308,0.00135516924,0.8941288234,662.4627344,0.01458641018
826.5345961,0.771370325,0.9986363029,0.001363697142,0.8941530698,663.1971266,0.01452312549
837.6302431,0.7691804594,0.998613082,0.001386918024,0.8946959593,662.9785513,0.01437284002
848.8748414,0.7516636614,0.9983531866,0.001646813387,0.8945322568,663.0736085,0.01319653771
860.2703905,0.7324851352,0.9980277553,0.001972244741,0.8940258146,663.1009109,0.01208313237
871.8189168,0.7049119988,0.9975145204,0.002485479626,0.8945052113,662.738132,0.01074669647
883.522474,0.6758051816,0.9968798935,0.003120106455,0.8949409025,662.9402519,0.009570050634
895.3831433,0.6593966732,0.9964582628,0.00354173722,0.894646604,663.0647274,0.008991196885
907.4030337,0.6512834157,0.9962362884,0.0037637116,0.8945379006,663.0766957,0.008725544861
919.5842827,0.6422419035,0.9959988988,0.004001101193,0.8949954977,663.0456322,0.008446479346
931.9290565,0.6310827627,0.9956821262,0.004317873762,0.8953264121,662.9378928,0.008120269174
944.4395501,0.6179086548,0.9952712295,0.00472877047,0.8954092648,662.6480776,0.007759642043
957.1179884,0.5886151792,0.9942553831,0.005744616903,0.8956743525,663.0299467,0.00702724656
969.9666258,0.5491322078,0.99257351,0.007426489969,0.8953310592,663.0505713,0.006188164314
982.9877471,0.5116007527,0.9907563642,0.009243635775,0.8966133507,663.1415865,0.005514830503
996.1836679,0.4729459381,0.9883264399,0.01167356006,0.896346859,662.7607524,0.004915296822
1009.556735,0.4287277554,0.9849772511,0.01502274891,0.8969997268,663.4082782,0.004316583501
1023.109325,0.4068671683,0.9830557691,0.0169442309,0.8976594115,662.9214927,0.004056270552
1036.84385,0.4047083398,0.9828753539,0.01712464608,0.8978576587,663.0434521,0.004030700131
1050.762751,0.4206254982,0.9843091256,0.01569087444,0.897363359,663.1681238,0.004218711463
1064.868504,0.445986648,0.9864273305,0.01357266951,0.8971152455,663.1620003,0.004540642549
1079.163616,0.4606482692,0.9875576009,0.0124423991,0.897240724,663.3527105,0.004738482989
1093.650631,0.4660830961,0.9879209505,0.01207904948,0.8970031899,663.4631825,0.004813368644
1108.332123,0.4649498414,0.9878656485,0.01213435149,0.8972212994,663.11195,0.004800415756
1123.210704,0.453737369,0.9870408464,0.01295915363,0.8972183569,663.3628411,0.004643408069
1138.28902,0.4289748435,0.98511246,0.01488754004,0.8977920446,663.0025106,0.004323996182
1153.569751,0.4066604334,0.9830768177,0.01692318228,0.8979130906,663.6118612,0.004050128706
1169.055615,0.3420965795,0.9756902628,0.02430973717,0.8992799215,663.4424215,0.003362975302
1184.749367,0.2887602677,0.9670331479,0.03296685205,0.9007623621,663.1945804,0.002875902619
1200.653796,0.2486239863,0.9581586232,0.04184137683,0.9021401085,663.5371506,0.002543549879
1216.77173,0.1988600499,0.9427695901,0.05723040987,0.9045282654,663.4951211,0.002167477464
1233.106037,0.1767719704,0.9335089129,0.06649108709,0.9057921648,663.7561507,0.002009399158
1249.65962,0.1646762209,0.9275780159,0.07242198414,0.9066165199,663.3301837,0.001926711859
1266.435424,0.1614195251,0.9259090789,0.07409092106,0.9069259612,663.5388142,0.001903792807
1283.436431,0.164048237,0.9274816203,0.07251837972,0.906981678,663.5573786,0.001921956177
1300.665664,0.1661046166,0.9287508955,0.0712491045,0.9071256839,663.5877005,0.001936236197
1318.126188,0.1680844099,0.9295911675,0.07040883249,0.9067604976,663.6390326,0.001949598008
