wavelength_nm,albedo,single_scattering_albedo,co_albedo,asymmetry,extinction_coefficient_per_m,e_folding_depth_m
300,0.9965320696,0.9999997367,2.633418137e-07,0.8836893248,1324.86008,0.5455423691
304.0272895,0.9965539248,0.9999997405,2.594601921e-07,0.8839428501,1324.692595,0.5491519684
308.1086425,0.9965758624,0.9999997441,2.559197059e-07,0.884052298,1324.639531,0.5527309683
312.2447849,0.9965952364,0.9999997479,2.520963536e-07,0.8844785922,1324.875449,0.5559086825
316.436452,0.99661168,0.9999997505,2.495167422e-07,0.8845461775,1324.785052,0.5586695797
320.6843893,0.9966211322,0.9999997528,2.471760444e-07,0.8849872907,1324.617628,0.5604372216
324.9893522,0.9966432123,0.9999997561,2.43878352e-07,0.8850212455,1324.61195,0.5641428684
329.3521062,0.9966643439,0.9999997598,2.402179075e-07,0.8853049291,1324.704617,0.5677688847
333.7734272,0.9966798745,0.9999997628,2.372301371e-07,0.8856674264,1325.075513,0.5703794617
338.2541012,0.9966862294,0.9999997643,2.356579537e-07,0.8859883342,1325.175682,0.5715292838
342.7949252,0.9967166771,0.9999997692,2.307742153e-07,0.8862670568,1325.264155,0.5768854363
347.3967065,0.9967400514,0.9999997729,2.270726864e-07,0.8864778921,1325.050596,0.5811876565
352.0602635,0.996753886,0.9999997755,2.245431796e-07,0.8867819191,1324.916784,0.5838219432
356.7864255,0.9967779615,0.9999997792,2.207641898e-07,0.8870147318,1325.036074,0.5882115327
361.576033,0.9967924403,0.9999997813,2.186612648e-07,0.8870766619,1325.116298,0.5908548768
366.4299375,0.9968165432,0.9999997852,2.147836002e-07,0.8873903144,1325.181295,0.5954058394
371.3490023,0.9968349655,0.9999997881,2.11868697e-07,0.8876194908,1325.326377,0.5988844851
376.3341021,0.9968526396,0.9999997905,2.094598188e-07,0.8876437959,1324.994599,0.6024117799
381.3861233,0.9968717857,0.9999997935,2.064785088e-07,0.8878807872,1325.481737,0.6059583332
386.5059644,0.9968909307,0.9999997966,2.033590218e-07,0.8882082622,1325.149553,0.6099545604
391.6945358,0.9964234576,0.9999997309,2.690627151e-07,0.8882836214,1325.322546,0.5300497691
396.9527601,0.9967378572,0.9999997765,2.234953831e-07,0.8884168418,1325.543895,0.5811766372
402.2815723,0.9966024079,0.999999758,2.420304777e-07,0.8886216628,1325.421178,0.5580790827
407.6819202,0.9965335833,0.9999997486,2.514465974e-07,0.8888459164,1325.663567,0.5469434015
413.1547639,0.9964161499,0.9999997315,2.684538035e-07,0.8889914091,1325.615597,0.529048195
418.7010767,0.99628197,0.9999997114,2.886441893e-07,0.8891179054,1325.550335,0.5099780507
424.3218448,0.9960156567,0.999999669,3.31025287e-07,0.8892998065,1325.882469,0.4757499981
430.0180679,0.9957351112,0.9999996212,3.78826183e-07,0.8894662302,1325.994195,0.4443900663
435.7907587,0.9951751297,0.9999995154,4.846365845e-07,0.8895781242,1326.048555,0.3927029932
441.6409438,0.9946036678,0.999999394,6.059884983e-07,0.889690846,1325.9385,0.3510591323
447.5696636,0.9939810047,0.9999992461,7.538547987e-07,0.8897713264,1325.57736,0.3147363556
453.5779723,0.9932812397,0.9999990617,9.38336614e-07,0.8899703936,1326.125271,0.2817637864
459.6669383,0.9926055564,0.999998863,1.137015886e-06,0.8900057327,1325.912133,0.2559701909
465.8376444,0.9917039132,0.9999985692,1.430794885e-06,0.8901436655,1326.235633,0.2280012414
472.0911879,0.9907331527,0.9999982159,1.784070231e-06,0.8903296022,1325.954876,0.2040735488
478.4286808,0.9896454381,0.9999977719,2.228134708e-06,0.8904249633,1326.154547,0.1825112082
484.8512502,0.9883048293,0.9999971541,2.84585549e-06,0.8904514212,1326.185946,0.1614719665
491.360038,0.9870001774,0.9999964844,3.515572378e-06,0.8906250944,1326.555415,0.1451375736
497.9562017,0.9854769815,0.9999956075,4.392464597e-06,0.8906856291,1326.787877,0.1297900043
504.6409143,0.9839294636,0.9999946149,5.385143711e-06,0.8907319513,1326.469502,0.1172247893
511.4153645,0.9824031263,0.9999935417,6.458319672e-06,0.8908841275,1326.978727,0.1069359824
518.2807569,0.9806481336,0.9999921857,7.814330653e-06,0.8910418792,1326.688583,0.09717501997
525.2383124,0.9787748494,0.9999905855,9.414471564e-06,0.8911007481,1326.986639,0.08849138656
532.2892682,0.976951881,0.9999888663,1.113372006e-05,0.8909968445,1326.26043,0.08145159861
539.4348781,0.9749909493,0.9999868923,1.310770421e-05,0.8912386895,1325.496063,0.07503775521
546.6764128,0.9730260117,0.9999847296,1.527038865e-05,0.8913146857,1326.836574,0.06942958333
554.0151601,0.970873834,0.9999822065,1.77934594e-05,0.8916364918,1326.310655,0.06426008714
561.4524249,0.9687030592,0.9999794023,2.059770694e-05,0.8916143634,1327.045034,0.05969811755
568.9895297,0.9666565759,0.9999765812,2.341876908e-05,0.8916759606,1326.724242,0.05598651684
576.6278149,0.9644405584,0.9999733391,2.666089015e-05,0.891834795,1325.814175,0.05247393868
584.3686387,0.9621584744,0.9999696605,3.033952128e-05,0.8915818309,1328.062306,0.04915748179
592.2133776,0.9600300618,0.9999661107,3.388934086e-05,0.8917055971,1326.394869,0.0465466113
600.1634267,0.95794001,0.9999625359,3.746412778e-05,0.892134459,1326.587919,0.04418603679
608.2201996,0.9549754512,0.9999568783,4.312167967e-05,0.8920122732,1325.673938,0.04123457868
616.385129,0.9513260844,0.9999495275,5.047246805e-05,0.8922850325,1326.65088,0.03804301043
624.6596668,0.947334234,0.999940744,5.925598558e-05,0.8924640594,1327.59225,0.03505960003
633.0452845,0.943921173,0.9999324484,6.755156943e-05,0.892290281,1326.778866,0.03287997003
641.5434733,0.9401893416,0.9999229709,7.702908309e-05,0.8924792,1326.319086,0.03077751021
650.1557442,0.9367774441,0.9999137243,8.627565761e-05,0.8926338817,1326.736849,0.02905372849
658.8836289,0.9330774282,0.9999025257,9.747432962e-05,0.8921924789,1326.926806,0.02737960494
667.7286793,0.9293363411,0.9998912224,0.0001087775762,0.8925503431,1327.496948,0.02586872471
676.6924683,0.9263970674,0.9998818306,0.0001181693892,0.8927697106,1328.143181,0.02478485897
